q2_Value,qi_Value,ClosedLoop_Resonant_Eig_RealPart,OpenLoop_Resonant_Eig_RealPart,Real_Shift,Resonant_Eig_ImagPart
0.01,0.01,-2.13777365157547,-2.09471477811103,-0.0430588734644366,42.4676629854313
0.01,0.1,-2.13778665350023,-2.09471477811103,-0.0430718753891921,42.4676415930795
0.01,1,-2.13791666762704,-2.09471477811103,-0.0432018895160065,42.4674276478816
0.01,10,-2.13921629657037,-2.09471477811103,-0.0445015184593309,42.4652860238634
0.01,100,-2.15216092524683,-2.09471477811103,-0.0574461471357925,42.4436483994098
1,0.01,-6.88699480559895,-2.09471477811103,-4.79228002748791,35.6148264250174
1,0.1,-6.8870012915683,-2.09471477811103,-4.79228651345727,35.6148331969245
1,1,-6.88706615085346,-2.09471477811103,-4.79235137274243,35.6149009169015
1,10,-6.88771470317261,-2.09471477811103,-4.79299992506158,35.6155782072048
1,100,-6.89419616273537,-2.09471477811103,-4.79948138462434,35.6223601649783
100,0.01,-26.0144985285839,-2.09471477811103,-23.9197837504729,29.2195077888627
100,0.1,-26.0144945290882,-2.09471477811103,-23.9197797509771,29.2195133614867
100,1,-26.0144545345269,-2.09471477811103,-23.9197397564158,29.21956908761
100,10,-26.01405462928,-2.09471477811103,-23.9193398511689,29.220126336932
100,100,-26.0100596092407,-2.09471477811103,-23.9153448311297,29.2256976366554
