q2_Value,qi_Value,RefAmplitude_deg,RiseTime,SettlingTime,Overshoot
0.01,0.01,50,0.3236,1.4139,1.06382978723405
0.01,0.1,50,0.2898,3.3411,7.55395683453237
0.01,1,50,0.2356,2.59115,18.0505415162455
0.01,10,50,0.1734,1.8321,30.9352517985611
0.01,100,50,0.1437,1.8751,40.6474820143885
1,0.01,50,0.3384,1.42485,0
1,0.1,50,0.2914,4.2181,7.55395683453237
1,1,50,0.2366,2.73515,19.1335740072202
1,10,50,0.18745,1.91515,33.9350180505415
1,100,50,0.1342,1.5721,46.4028776978417
100,0.01,50,0.436,1.60775,0.350877192982457
100,0.1,50,0.3596,4.89315,10.8303249097473
100,1,50,0.2838,3.1062,25.3623188405797
100,10,50,0.21515,2.08905,38.3512544802868
100,100,50,0.1832,1.9761,47.8417266187051
